2026-04-11T11:03:14 UTC | Loading BPF program from /home/litaliano00-dev/PysiAdmin/ebpf/probes/exec_monitor.c
2026-04-11T11:03:18 UTC | Tracing execve syscalls — Ctrl+C to stop.
2026-04-11T11:17:06 UTC | EXEC | pid=353926 ppid=353786 uid=1000   comm=gly-hdl-editor       file=
2026-04-11T11:17:06 UTC | EXEC | pid=353930 ppid=353929 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=353949 ppid=353786 uid=1000   comm=pool-4               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353949 ppid=353786 uid=1000   comm=pool-4               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353949 ppid=353786 uid=1000   comm=pool-4               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353949 ppid=353786 uid=1000   comm=pool-4               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353949 ppid=353786 uid=1000   comm=pool-4               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353949 ppid=353786 uid=1000   comm=pool-4               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353950 ppid=353786 uid=1000   comm=pool-26              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353950 ppid=353786 uid=1000   comm=pool-26              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353950 ppid=353786 uid=1000   comm=pool-26              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353950 ppid=353786 uid=1000   comm=pool-26              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353950 ppid=353786 uid=1000   comm=pool-26              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353950 ppid=353786 uid=1000   comm=pool-26              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353952 ppid=353786 uid=1000   comm=pool-27              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353952 ppid=353786 uid=1000   comm=pool-27              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353952 ppid=353786 uid=1000   comm=pool-27              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353952 ppid=353786 uid=1000   comm=pool-27              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353952 ppid=353786 uid=1000   comm=pool-27              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353952 ppid=353786 uid=1000   comm=pool-27              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353954 ppid=353786 uid=1000   comm=pool-21              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353954 ppid=353786 uid=1000   comm=pool-21              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353954 ppid=353786 uid=1000   comm=pool-21              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353954 ppid=353786 uid=1000   comm=pool-21              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353954 ppid=353786 uid=1000   comm=pool-21              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353954 ppid=353786 uid=1000   comm=pool-21              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353955 ppid=353951 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=353957 ppid=353786 uid=1000   comm=pool-20              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353957 ppid=353786 uid=1000   comm=pool-20              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353957 ppid=353786 uid=1000   comm=pool-20              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353957 ppid=353786 uid=1000   comm=pool-20              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353957 ppid=353786 uid=1000   comm=pool-20              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353957 ppid=353786 uid=1000   comm=pool-20              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353959 ppid=353786 uid=1000   comm=pool-10              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353959 ppid=353786 uid=1000   comm=pool-10              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353959 ppid=353786 uid=1000   comm=pool-10              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353959 ppid=353786 uid=1000   comm=pool-10              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353959 ppid=353786 uid=1000   comm=pool-10              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353959 ppid=353786 uid=1000   comm=pool-10              file=
